timestamp,total_rps,replicas,p95_latency_ms
1770628847.9108975,27.65,1,426.656670999364
1770628992.517505,33.15,1,495.83050300134346
1770629052.961041,33.06666666666667,1,412.1091959968908
1770629113.3391168,33.18333333333333,1,485.4486660005932
1770629173.5338337,33.18333333333333,1,486.75980500047444
1770629233.824208,32.166666666666664,1,452.81345799958217
1770629584.4668174,31.516666666666666,1,42.466989001695765
1770629644.5100234,31.3,1,42.76339700300014
1770629704.5558631,31.583333333333332,1,41.24092399797519
1770629764.5996473,31.783333333333335,1,37.971933001244906
1770629824.6630237,29.916666666666668,1,41.00541299703764
1770630146.5784185,36.18333333333334,2,205.12132499789004
1770630206.9928107,65.76666666666667,2,198.21709800089593
1770630267.507418,65.76666666666667,2,201.3286289984535
1770630327.76505,65.81666666666666,2,199.53404699845123
1770630388.1452136,65.73333333333333,2,194.3236139995861
